Unnamed: 0,questions,answers,similarity_score
0,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
1,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
2,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
3,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
4,What is the scientific name of Virginia pine?,The scientific name of Virginia pine is Pinus virginiana.,1.0000000000000007
5,Where is Virginia pine native to?,Virginia pine is native to the southeastern United States.,0.9602970467790612
6,What are some common uses of Virginia pine wood?,"Virginia pine wood is commonly used for furniture, paneling, and construction.",0.9999988092470915
7,What is the average lifespan of Virginia pine?,The average lifespan of Virginia pine is around 80 to 90 years.,0.9999999999999992
8,How does Virginia pine reproduce?,Virginia pine reproduces through the dispersal of seeds.,1.0
9,What type of soil does Virginia pine prefer?,Virginia pine prefers well-drained and acidic soil.,0.9999976754778757
10,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
11,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
12,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
13,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
14,Where is the National Hardwood Lumber Association located?,"The National Hardwood Lumber Association is located in Memphis, Tennessee, U.S.A.",0.9726876341369947
15,What is the contact number for the National Hardwood Lumber Association?,The contact number for the National Hardwood Lumber Association is (901) 377-1618.,0.9539499696849522
16,What is the purpose of the lumber inspections by the National Hardwood Lumber Association?,The lumber inspections by the National Hardwood Lumber Association aim to guide the recruitment and inspection of hardwood and cygen.,0.9745586536447668
17,Who formulated and adopted the guidelines for lumber inspections?,The guidelines for lumber inspections were formulated and adopted by the National Hardwood Lumber Association.,0.9130951476018353
18,What does the National Hardwood Lumber Association hold the copyright for?,The National Hardwood Lumber Association holds the copyright for the guidelines and rights under the copyright law.,0.9285836958243815
19,What is the English version's role in case of a translation difference?,"In case of a translation difference, the English version shall supercode.",0.7942684466331922
20,What is the difference between hardwood and softwood lumber?,"Hardwood lumber comes from broadleaf and deciduous trees, while softwood lumber comes from coniferous trees.",0.8936299638737558
21,How are hardwood boards graded?,"Hardwood boards are graded based on their usable content, excluding any undesirable parts such as knots or splits.",0.934931545400606
22,Why are grading rules advantageous for hardwoods?,"Grading rules establish the value of a board and provide a standard for specific end uses, allowing buyers to make informed purchases.",0.9136339006915238
23,How do grading rules benefit different manufacturers?,"Grading rules allow chair manufacturers to use boards with shorter and narrower clear pieces, while case goods or table manufacturers may require longer or wider cuttings.",0.8946882996699926
24,Are the grading rules applicable to all hardwood species?,"Yes, the grading rules generally apply to all hardwood species, with some exceptions for specific end uses or construction types.",0.9148551145916224
25,When were the grading rules for hardwood lumber codified?,The grading rules were codified with the formation of the National Hardwood Lumber Association in 1897.,0.9012328141171632
26,How have the grading rules been adjusted over time?,"The grading rules have been revised or enlarged to meet the industry's needs, with input from a standing committee representing different species and producing areas.",0.9062551025503502
27,What resources does the National Hardwood Lumber Association provide for education?,The Association offers short-term instructional courses and a full-time training school for both members and non-members to achieve a uniform understanding and application of the rules.,0.9504864449517318
28,What services does the Association provide for the buyer and seller of hardwoods?,The Association maintains a staff of highly qualified inspectors who are available on request to both members and non-members for the protection and interests of buyers and sellers.,0.9269549875952321
29,Are the grading rules widely accepted and used?,"Yes, the grading rules are used universally and are trusted due to their long and careful development by lumbermen in cooperation with users.",0.9062551025503502
30,What is the duty of lumber graders?,Lumber graders grade lumber as specified in written orders and provide certificates if applicable.,0.8912912417584662
31,Who financially guarantees the certificates provided by lumber graders?,The Association financially guarantees the certificates issued by lumber graders.,0.8887959526173062
32,What prompts major alterations in hardwood standards?,Noticeable changes in the character of the hardwood timber supply prompt major alterations in hardwood standards.,0.8781950625702646
33,What is the responsibility of hardwood operators regarding the lumber rules?,Hardwood operators have an obligation to ensure that the lumber rules bear a reasonable and practical relationship to the available timber supply in order to promote conservation.,0.9030799436947364
34,Who reviews and considers proposals for amending or adopting lumber rules?,"The Rink Committee, comprised of experienced lumbermen, reviews and considers proposals for amending or adopting lumber rules.",0.9130951476018353
35,What is the requirement for a proposal to become official and included in the Rink?,A proposal must be passed by a two-thirds majority vote of the Active membership of the Association to become official and included in the Rink.,0.8143483387199041
36,What is the purpose of the Sales Code?,The Sales Code is designed to create a basis for agreement and provide a means for settling disputes without litigation in sale and purchase contracts.,0.9072890164185863
37,Why is constant review and study of lumber grading rules advisable?,"Constant review and study of lumber grading rules is advisable to ensure proper understanding and correct application, as no rules can be truly effective if not understood and applied correctly.",0.9048356192287623
38,What do the rules presented in the following pages signify?,"The rules presented in the following pages have stood the test of time, served as a pattern for others, and are an example of the industry's determined efforts to conduct its affairs with the utmost integrity.",0.8220379601257053
39,What is referred to as the Golden Rule in the forestry industry?,"The rules and regulations presented are referred to as the Golden Rule, symbolizing the industry's commitment to ethical practices.",0.8775634474065832
40,What are the rules for manufacturing lumber?,"Lumber should be properly manufactured of good, average width and lengths. It should be added and trimmed carefully to produce the best possible appearance while conserving the usable product of the log.",0.9329703743771669
41,How much surfaced lumber is allowed in shipments of rough lumber?,Shipments of rough lumber will admit 25% of surfaced lumber when it is of the specified rough thickness.,0.8942069401006353
42,What should contracts for green lumber specify?,Contracts for green lumber should specify dimensions required to provide for shrinkage in drying.,0.9192452345025278
43,How is rough lumber categorized for Standard Thickness?,Rough lumber shall be categorized for Standard Thickness by the measurement taken at the thinnest cutting used in establishing the grade.,0.9513881291044665
44,How much variation in thickness is allowed for lumber in the Miscurt category?,"If there is a greater variation in thickness over the entire length of the piece than shown in the specified table, the board shall be classed about that.",0.9080855394547405
45,"What is the specified variation in thickness for lumber with a thickness of 3/8"", 1/2"", 5/8"", and 3/4""?","The specified variation in thickness for lumber with a thickness of 3/8"", 1/2"", 5/8"", and 3/4"" is minus 0"" / plus 3/16"".",0.9684552244857663
46,What is the specified variation in thickness for lumber with a thickness of 4/4 and 5/4?,"The specified variation in thickness for lumber with a thickness of 4/4 and 5/4 is minus 0"" / plus 1/4"".",0.9720418992223765
47,What is the specified variation in thickness for lumber with a thickness of 6/4 and 7/4?,The specified variation in thickness for lumber with a thickness of 6/4 and 7/4 is not mentioned.,0.9689487120350362
48,"What is the specified variation in thickness for lumber with a thickness of 8/4, 10/4 and 1/2/4?","The specified variation in thickness for lumber with a thickness of 8/4, 10/4 and 1/2/4 is not mentioned.",0.9687146905547975
49,What is the specified variation in thickness for lumber with a thickness of 1/4/4 to 2/4?,The specified variation in thickness for lumber with a thickness of 1/4/4 to 2/4 is not mentioned.,0.9720418992223765
50,What is clear-face cutting?,A coating having one clear face (ordinary season checks are admitted) and the reverse side sound as defined in Sound Cutting.,0.980054608871247
51,What is sound cutting?,"A cutting free from rot, pin, shake and wane, admitting sound knots, bird pecka, stain, streak or their equivalence, and limited holes of certain sizes.",0.9880455628212094
52,What is a check in forestry?,A length-wise separation of the wood that usually extends across the rings of annual growth and commonly results from stresses acting up in wood during scanning.,0.9999999999999996
53,What is a mineral streak in hardwoods?,An olive to greenish-black or brown distribution of undetermined cause in hardwoods.,0.852234060383341
54,What is a sound knot?,"A knot that is solid across in face, hard as the surrounding wood, and shows no indication of decay.",0.8910495063593477
55,How is quartered lumber defined?,"In species where figure is not required, pieces shall be considered quartered when 80% of the surface of the required croupings in the aggregate shows the radial grain at an angle of 45deg or less with one face.",0.8817020265796339
56,What is the permitted thickness variation for quartered lumber in a dry shipment?,"In ten percent of a shipment of quartered lumber when shipping dry, the required cutting may be 1/16"" scant in thickness on one edge provided the other edge of the cutting is full standard thickness up to and including 7/4""; in 8/4"" and thicker they may be 1/8"" scant on one edge, provided the other edge is full standard thickness.",0.9016436524266409
57,What are the characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999993
58,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
59,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
60,What is the cutting unit method?,The cutting unit method is used to measure the amount of usable wood in boards.,0.9633179132657944
61,How wide is a cutting unit?,"A cutting unit is 1"" wide.",0.9549101975525338
62,How long is a cutting unit?,A cutting unit is 1' long or the equivalent.,0.9549101975525338
63,How many cutting units are there in 1 square foot at 1 foot of surface measure?,There are 12 cutting units in 1 square foot at 1 foot of surface measure.,0.8952714384265548
64,How are cutting units calculated?,Cutting units are calculated by multiplying the width of a cutting measured in inches and fractions of an inch by the length measured in feet and fractions of a foot.,0.9279144887372901
65,What are cutting units used for in grading boards?,The number of units obtained in the cuttings of a board are sealed and used as one requirement in the individual grades.,0.9003216362538659
66,How is the number of cutting units required by each grade determined?,The surface measure is multiplied by the yield requirement to determine the number of cutting units required by each grade.,0.9261434752998038
67,What is the yield requirement for cutting units?,The yield requirement for cutting units is 11.64/12 or 97%.,0.9088292545090215
68,What is the meaning of 'm1.67%' in relation to the yield requirement?,'m1.67%' refers to a specific component or detail related to the yield requirement.,0.8297199997455462
69,What is the purpose of the cutting unit method?,The cutting unit method is used to accurately measure and assess the amount of usable wood in boards.,0.9633179132657944
70,How do you determine one-sixth the length of a board?,"To determine one-sixth the length of a board, multiply the length in feet by 2. The result will be the required number of inches in length.",0.944325448662865
71,How do you determine one-third the length of a board?,"To determine one-third the length of a board, multiply the length by 4. The result will be the required number of inches in length.",0.948409393694253
72,How do you determine 1/12 of the required cutting area?,"To determine 1/12 of the required cutting area, the amount of square inches permitted is equivalent to the number of cutting units required for the grade.",0.9412213265938472
73,How do you determine one-fourth of the cutting area?,"To determine one-fourth of the cutting area, divide the number of required cutting units by tree.",0.9412213265938472
74,"What is the formula to determine the average width of lumber on a 12"" basis?","To determine the average width of lumber on a 12"" basis, divide the total width in inches by the total number of pieces.",0.9464735007972168
75,"How do you determine the average width of lumber when not collapsing on a 12"" basis?","To determine the average width of lumber when not collapsing on a 12"" basis, tally the surface feet of each piece and apply the proper fraction to change surface feet to width in inches.",0.9464735007972168
76,What is Virginia pine intolerant of?,Virginia pine is intolerant of shade.,1.0000000000000009
77,What is the growth rate of Virginia pine?,Virginia pine has a moderate growth rate.,1.0
78,What type of pine is Virginia pine?,Virginia pine is a hard pine.,0.9999999999999987
79,What is Virginia pine often grown for?,Virginia pine is often grown for Christmas trees.,0.9738927271532065
80,What are the standard grades of hardwood lumber?,"The standard grades of hardwood lumber are Clear Face Curings Grades, Sound Curings Grades, FAS, No. 2B Cumman, F1F, No. 3B Cumman, Sekcest, Sound Wormy, No. 1 Common, No. 2A Cumman, No. 3A Cumman.",0.934931545400606
81,Can Selecs and No. 1 Common be combined as one grade?,"Yes, Selecs and No. 1 Common can be combined as one grade.",0.9158861387346594
82,"Can No. 2A Common and No. 2B Common be combined as one grade, No. 2 Common?","Yes, No. 2A Common and No. 2B Common can be combined as one grade, No. 2 Common, and when specified it includes all the No. 2A Common that the logs produce.",0.9616036478224047
83,"Can No. 3A Common and No. 3B Common be combined as one grade, No. 3 Common?","Yes, No. 3A Common and No. 3B Common can be combined as one grade, No. 3 Common, and when specified it includes all the No. 3A Common that the logs produce.",0.9616036478224047
84,What is the minimum width requirement for hardwood lumber?,The minimum width requirement is 6 inches and wider.,0.9562096644902547
85,What is the range of lengths allowed for hardwood lumber?,The range of lengths allowed is 8 to 16 feet.,0.9316058602491056
86,What is the minimum size for cutting hardwood lumber?,"The minimum size for cutting is 4 inches wide by 5 inches long, or 3 inches wide by variable length.",0.9562096644902547
87,What is the limitation on pieces that contain pith?,"No piece shall be admitted which contains pith, boxed or showing, exceeding in the aggregate in inches in length the surface measure in feet.",0.9645239935902018
88,What is the maximum allowable waney edge on a piece of hardwood lumber?,The wane shall not exceed on either edge of the piece over one-half the length in the aggregate.,0.8953121111729692
89,What is the limitation on splers of hardwood lumber?,"Splers shall not exceed in the aggregate in inches in length twice the surface measure of the piece, except when one foot or shorter and covered by Paragraph 59.",0.896625120324079
90,What are the characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999993
91,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999991097402694
92,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
93,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
94,What is the required curing area for No. 1 Common pieces?,No. 1 Common pieces require a curing area of minimum 4deg wide by 2deg long or 3deg wide by 3deg long.,0.9018971068840297
95,What is the maximum width for pieces under the minimum width rule for No. 1 Common?,Pieces under the minimum width rule for No. 1 Common can have a maximum width of 3 degrees.,0.9494298826297376
96,How many cuttings are allowed for a surface measure of 1' in No. 1 Common?,1 cutting is allowed for a surface measure of 1' in No. 1 Common.,0.9285171161793556
97,What is the required yield for a surface measure of 3' and 4' in No. 1 Common?,The required yield for a surface measure of 3' and 4' in No. 1 Common is 8/12 (66-2/3%).,0.8949921001875457
