PLT,Latitude,Longitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio13,bio14,bio15,bio16,bio17,bio18,bio19,FH2020,Aridity,HumanFP,maxEVI,maxLAI,meanFpar,meanLST_day,maxNDVI,sumET,sumPET,corr_annual_precip,BD,Clay,OCC,pH,EC,CperN,Ni,aspectcosine,aspectsine,dx,dxx,dy,dyy,elevation,pcurv,roughness,slope,tcurv,tpi,tri
PLOTID_3162772010661,39.91,-87.53,2849,96,274,9323,3022,2673,349,2945,2742,2965,2723,1297,613,236,3769,2010,3435,2031,22,8906,3.96625709533691,0.703700006008148,6.69999980926514,0.419673919677734,16.2304878234863,0.859399974346161,571.200012207031,912.299987792969,1001.89910888672,1.24,26.0,16.46,5.5,0.0,14.0,1.25,0.0376346223056316,0.557087659835815,0.0266658887267113,-6.17150144535117e-05,0.0008781111100688,-1.4405786714633e-05,186.8125,-5.86941896472126e-05,24.9375,1.83743977546692,-1.74862943822518e-05,-1.0234375,8.6796875
PLOTID_3256868010661,37.89,-88.03,2874,92,275,8880,3040,2705,335,2874,2937,2985,2754,1405,746,185,3549,2349,2674,2609,17,8521,7.31485319137573,0.639400005340576,3.5,0.283369570970535,17.0581817626953,0.84060001373291,589.700012207031,1153.59997558594,1116.94055175781,,,,,,,,0.135329678654671,-0.0542137660086155,-0.0008952161297202,6.51120899419766e-06,0.0049664722755551,5.84440044804069e-07,109.625,-3.93066402466502e-05,9.0625,0.728750646114349,4.63940159534104e-05,0.09375,3.140625
PLOTID_3178151010661,39.36,-87.53,2858,94,269,9283,3030,2682,348,2954,2732,2974,2732,1303,607,204,3543,2105,3111,2105,0,8562,10.0889768600464,0.615299999713898,2.79999995231628,0.348152160644531,15.3444185256958,0.865400016307831,630.0,1061.40002441406,1037.11669921875,,,,,,,,-0.104040652513504,-0.401857912540436,-0.0040465821512043,9.37111690291204e-06,-0.0007093155873008,-1.42138660521596e-05,138.9375,-1.67718353623059e-05,5.8125,0.328973710536957,1.19342739708372e-05,-0.171875,1.875
PLOTID_3182947010661,39.11,-87.64,2861,94,271,9238,3033,2687,346,2957,2736,2976,2736,1315,663,177,3452,2244,2993,2244,0,8549,17.1842155456543,0.531199991703033,2.70000004768372,0.244456514716148,17.713415145874,0.766799986362457,432.600006103516,854.099975585938,1036.64953613281,,,,,,,,-0.0637117028236389,-0.0698482245206833,-0.0010839885799214,-3.52946085513395e-06,-0.0023307111114263,1.18783464131411e-05,133.75,-3.52418396687426e-06,4.9375,0.346365839242935,7.37062964617508e-06,0.1953125,1.7890625
PLOTID_3253006010661,38.5,-87.67,2867,93,274,9038,3036,2697,339,2921,2745,2980,2745,1526,738,188,3642,2515,2895,2515,0,8813,9.67820358276367,0.646200001239777,2.70000004768372,0.327065229415894,17.8672733306885,0.82940000295639,566.900024414062,1052.40002441406,1079.13732910156,,,,,,,,-0.352767258882523,-0.141316965222359,-0.0003009146894328,-5.36076231583138e-06,-0.0017228820361197,-5.64829315408133e-06,120.8125,-6.01430110691581e-06,4.1875,0.218975886702538,-7.18324099580059e-06,-0.1796875,1.3515625
PLOTID_3252862010661,39.92,-87.53,2849,96,275,9311,3021,2673,348,2945,2742,2965,2723,1292,611,236,3758,2002,3425,2023,0,8918,11.5121879577637,0.639699995517731,4.30000019073486,0.374673902988434,16.2742862701416,0.863499999046326,572.0,976.5,1001.89910888672,1.24,26.0,16.46,5.5,0.0,14.0,1.25,0.0309109445661306,0.399257004261017,0.0139484219253063,3.9432034100173e-06,-0.0039853090420365,8.17627151263878e-05,193.625,0.0001157707738457,20.9375,1.77522003650665,-3.02618063869886e-05,1.6875,6.6875
PLOTID_3270533010661,39.59,-87.14,2852,95,273,9213,3024,2677,347,2947,2728,2967,2728,1411,626,224,3887,2205,3359,2205,0,9167,19.5848121643066,0.663600027561188,3.09999990463257,0.358913034200668,15.9848833084106,0.894900023937225,527.900024414062,932.900024414062,1108.80212402344,,,,,,,,-0.251833707094193,-0.176518604159355,-0.0013094443129375,-5.20358480571304e-06,-0.0033100123982876,-8.95600533112884e-06,202.875,4.64375216324697e-06,7.4375,0.505418956279755,-1.88053290912649e-05,-0.2421875,2.4921875
PLOTID_3270568010661,39.6,-87.17,2852,94,272,9230,3024,2677,347,2947,2727,2967,2727,1407,626,224,3882,2202,3369,2202,14,9104,8.22522640228271,0.610199987888336,7.0,0.54076087474823,16.5137214660645,0.889900028705597,634.099975585938,965.799987792969,1104.25610351562,,,,,,,,-0.141378402709961,-0.304400652647018,-0.0082073463127017,-1.10624514491064e-05,-0.0020265306811779,-1.94695312529802e-05,191.9375,2.67597147285414e-06,15.9375,1.21886050701141,-3.32357703882735e-05,-0.5234375,5.7578125
PLOTID_3270615010661,39.55,-87.19,2853,95,273,9213,3025,2678,347,2948,2729,2968,2729,1407,620,223,3859,2199,3334,2199,24,9060,15.7527112960815,0.625400006771088,7.0,0.499130427837372,17.2334136962891,0.847699999809265,751.5,1030.0,1093.00476074219,,,,,,,,-0.147803977131844,-0.117968842387199,0.0004796954453922,3.47534551110584e-05,-0.0062485467642545,4.7701207222417e-05,194.25,8.29480268293992e-05,13.125,0.923685848712921,-6.65559809931437e-07,1.375,4.375
PLOTID_3270650010661,39.59,-87.06,2851,94,273,9178,3023,2677,346,2946,2727,2966,2727,1416,629,226,3900,2203,3352,2203,0,9299,5.15508842468262,0.693000018596649,3.59999990463257,0.358586966991425,18.2126312255859,0.908100008964539,466.600006103516,812.5,1097.26782226562,,,,,,,,-0.280528783798218,-0.497125864028931,-0.0090798521414399,-1.04068176369765e-05,-0.0050663449801504,-2.84255620499607e-05,216.8125,-2.47568805207266e-05,10.1875,0.770870268344879,-1.40689453473897e-05,-0.6953125,3.0703125
