PLT,SPCD,PrevYR,PrevDBH,YR,DBH,Status
PLOTID_55077400010661,Acer saccharum,1998,38.608,1999,39.116,0
PLOTID_55077400010661,Acer saccharum,1998,12.954,1999,12.954,0
PLOTID_55077400010661,Acer saccharum,1998,12.7,1999,12.954,0
PLOTID_55077400010661,Acer saccharum,1998,12.7,1999,12.954,0
PLOTID_55077400010661,Ulmus rubra,1998,14.224,1999,14.478,0
PLOTID_55077400010661,Quercus velutina,1998,37.338,1999,37.592,0
PLOTID_55077400010661,Carya glabra,1998,44.45,1999,44.958,0
PLOTID_55077400010661,Carya glabra,1998,35.814,1999,35.814,0
PLOTID_55077400010661,Quercus alba,1998,57.404,1999,57.15,0
PLOTID_55077400010661,Acer saccharum,1998,12.954,1999,12.954,0
PLOTID_55077400010661,Acer saccharum,1998,12.7,1999,12.954,0
PLOTID_55077400010661,Acer saccharum,1998,12.7,1999,12.954,0
PLOTID_55077400010661,Ulmus rubra,1998,20.066,1999,20.066,0
PLOTID_55077400010661,Acer saccharum,1998,14.224,1999,14.224,0
PLOTID_55077400010661,Liquidambar styraciflua,1998,43.688,1999,43.434,0
PLOTID_55077400010661,Liquidambar styraciflua,1998,30.734,1999,30.48,0
PLOTID_55077400010661,Acer saccharum,1998,12.954,1999,12.954,0
PLOTID_55077400010661,Acer saccharum,1998,12.7,1999,12.954,0
PLOTID_55077400010661,Acer saccharum,1998,12.7,1999,12.954,0
PLOTID_55077400010661,Acer saccharum,1998,43.942,1999,43.688,0
PLOTID_55077400010661,Acer saccharum,1998,19.05,1999,19.558,0
PLOTID_55077400010661,Acer saccharum,1998,24.13,1999,24.638,0
PLOTID_55077400010661,Acer saccharum,1998,29.972,1999,30.734,0
PLOTID_55077400010661,Acer saccharum,1998,17.78,1999,18.034,0
PLOTID_55077400010661,Acer saccharum,1998,21.082,1999,21.59,0
PLOTID_55077400010661,Acer saccharum,1998,22.098,1999,22.86,0
PLOTID_55077400010661,Liriodendron tulipifera,1998,24.13,1999,24.892,0
PLOTID_55077400010661,Liriodendron tulipifera,1998,20.574,1999,21.59,0
PLOTID_55077400010661,Liriodendron tulipifera,1998,26.416,1999,27.432,0
PLOTID_55075462010661,Ulmus americana,1998,28.956,1999,28.194,0
PLOTID_55075462010661,Acer saccharum,1998,21.59,1999,22.098,0
PLOTID_55075462010661,Fraxinus americana,1998,39.878,1999,40.132,0
PLOTID_55075462010661,Fraxinus americana,1998,41.656,1999,42.164,0
PLOTID_55075462010661,Fraxinus americana,1998,42.164,1999,42.418,0
PLOTID_55075462010661,Platanus occidentalis,1998,54.61,1999,55.88,0
PLOTID_55075462010661,Acer rubrum,1998,13.462,1999,13.716,0
PLOTID_55075462010661,Ulmus americana,1998,13.97,1999,16.764,0
PLOTID_55075462010661,Fraxinus americana,1998,25.4,1999,25.654,0
PLOTID_55075462010661,Fraxinus americana,1998,24.892,1999,24.892,0
PLOTID_55075462010661,Acer rubrum,1998,17.526,1999,18.288,0
PLOTID_55075462010661,Fraxinus americana,1998,27.686,1999,27.686,0
PLOTID_55075462010661,Sassafras albidum,1998,17.78,1999,18.034,0
PLOTID_55075462010661,Quercus rubra,1998,18.542,1999,18.542,0
PLOTID_55075462010661,Quercus rubra,1998,22.86,1999,23.368,0
PLOTID_55096617010661,Sassafras albidum,1997,17.78,1999,18.034,0
PLOTID_55096617010661,Quercus imbricaria,1997,47.244,1999,48.26,0
PLOTID_55096617010661,Acer saccharum,1997,33.274,1999,34.798,0
PLOTID_55096617010661,Prunus serotina,1997,29.21,1999,29.972,0
PLOTID_55096393010661,Salix nigra,1997,35.306,1999,38.1,0
PLOTID_55096393010661,Salix nigra,1997,39.624,1999,42.672,0
PLOTID_55096393010661,Salix nigra,1997,30.226,1999,32.766,0
PLOTID_55101311010661,Carya glabra,1997,50.8,1999,52.07,0
PLOTID_55101311010661,Fagus grandifolia,1997,23.114,1999,23.368,0
